%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1570518485636529524,77922,1570518485636269092,map,-22850.2815558,-93071.572375,31.143,0.0,0.0,-0.781888346696,0.623418489701
1570518485680550816,77923,1570518485680294990,map,-22850.5169059,-93072.1348246,31.153,0.0,0.0,-0.832468322367,0.554072641678
1570518485724518716,77924,1570518485724250078,map,-22850.7488599,-93072.6992057,31.161,0.0,0.0,-0.83070319261,0.556715551954
1570518485769396001,77925,1570518485768667936,map,-22850.9722803,-93073.2634603,31.163,0.0,0.0,-0.827087582809,0.562073064969
1570518485856676503,77926,1570518485856384038,map,-22850.8974737,-93073.6860097,32.236,0.0,0.0,-0.642524040873,0.766265526368
1570518485900808303,77927,1570518485899899005,map,-22851.1216153,-93074.2652754,32.261,0.0,0.0,-0.824884134171,0.565301835476
1570518485945537107,77928,1570518485944392919,map,-22851.33627,-93074.845619,32.29,0.0,0.0,-0.820641792636,0.57144295269
1570518485989197178,77929,1570518485988847017,map,-22851.5519289,-93075.4328195,32.318,0.0,0.0,-0.819984987527,0.572385027958
1570518486038638585,77930,1570518486038135051,map,-22851.8512737,-93076.0298299,32.048,0.0,0.0,-0.850946244051,0.525252786509
1570518486119349823,77931,1570518486119147062,map,-22852.0619068,-93076.616969,32.057,0.0,0.0,-0.817824342529,0.575467935481
1570518486119884253,77932,1570518486119496107,map,-22852.2636203,-93077.2073847,32.064,0.0,0.0,-0.813418421151,0.581679011253
1570518486198213572,77933,1570518486197596073,map,-22852.4604928,-93077.8048383,32.07,0.0,0.0,-0.810236301623,0.58610334885
1570518486241710068,77934,1570518486241386890,map,-22852.8397723,-93078.4534346,32.025,0.0,0.0,-0.867408760466,0.497596264322
1570518486286280114,77935,1570518486286045074,map,-22853.0267839,-93079.0662035,32.046,0.0,0.0,-0.803710035564,0.595021158223
1570518486330897324,77936,1570518486329885005,map,-22853.208744,-93079.6808154,32.075,0.0,0.0,-0.801210742241,0.598382274568
1570518486373898211,77937,1570518486373613119,map,-22853.3931709,-93080.2921856,32.092,0.0,0.0,-0.802747456669,0.596319143422
1570518486418136233,77938,1570518486417804002,map,-22853.2724852,-93080.8072398,33.315,0.0,0.0,-0.621233720067,0.783625334616
1570518486507832142,77939,1570518486504894018,map,-22853.4450347,-93081.4231142,33.342,0.0,0.0,-0.796800399128,0.604242603553
1570518486549443529,77940,1570518486549156904,map,-22853.6195942,-93082.0412208,33.348,0.0,0.0,-0.79742708199,0.603415320413
1570518486593128557,77941,1570518486592871904,map,-22853.7895345,-93082.6580077,33.357,0.0,0.0,-0.79549581527,0.605959081035
1570518486637566671,77942,1570518486636944055,map,-22854.1763556,-93083.2684978,32.034,0.0,0.0,-0.876135603201,0.482064730927
1570518486681088883,77943,1570518486680764913,map,-22854.3319969,-93083.8928088,32.047,0.0,0.0,-0.78800291201,0.61567151198
1570518486725457092,77944,1570518486725100994,map,-22854.4884577,-93084.5169514,32.046,0.0,0.0,-0.788402658329,0.615159530805
1570518486770226272,77945,1570518486769417047,map,-22854.6400981,-93085.1441938,32.048,0.0,0.0,-0.785807718974,0.61847087951
1570518486812691769,77946,1570518486812438964,map,-22855.00438,-93085.6736667,30.883,0.0,0.0,-0.885102624361,0.465395900658
1570518486903904207,77947,1570518486899920940,map,-22855.144308,-93086.3106268,30.91,0.0,0.0,-0.779283184321,0.626671938605
1570518486945121104,77948,1570518486944885015,map,-22855.2827788,-93086.94772,30.9,0.0,0.0,-0.778584926496,0.627539251548
1570518486989196984,77949,1570518486988517999,map,-22855.4171787,-93087.5901852,30.903,0.0,0.0,-0.776131973444,0.630570503431
1570518487032280737,77950,1570518487032044887,map,-22855.628535,-93088.2351188,30.461,0.0,0.0,-0.809759582392,0.586761807486
1570518487077890797,77951,1570518487076734066,map,-22855.7607943,-93088.8776448,30.462,0.0,0.0,-0.775117929319,0.631816583866
1570518487120355049,77952,1570518487120040893,map,-22855.8905753,-93089.5248548,30.474,0.0,0.0,-0.773501746021,0.633794169192
1570518487197020098,77953,1570518487196261882,map,-22856.0169826,-93090.1709086,30.474,0.0,0.0,-0.772016745356,0.635602190753
1570518487240300897,77954,1570518487240051984,map,-22856.1322067,-93090.8016817,30.444,0.0,0.0,-0.768016186033,0.640430431813
1570518487327852527,77955,1570518487327533960,map,-22856.2512787,-93091.4530417,30.452,0.0,0.0,-0.768057655738,0.64038069729
1570518487374389735,77956,1570518487371925115,map,-22856.3691926,-93092.1027961,30.449,0.0,0.0,-0.767645176624,0.640875091422
1570518487417848724,77957,1570518487415750026,map,-22856.4784728,-93092.754791,30.462,0.0,0.0,-0.763316169968,0.646025096002
1570518487465404877,77958,1570518487459631919,map,-22856.5906073,-93093.3826137,29.938,0.0,0.0,-0.766754863763,0.641940011914
1570518487504101078,77959,1570518487503747940,map,-22856.6972703,-93094.0383684,29.939,0.0,0.0,-0.761756798443,0.647863087408
1570518487551086851,77960,1570518487547622919,map,-22856.8004661,-93094.6920056,29.952,0.0,0.0,-0.760245909987,0.649635402629
1570518487591651146,77961,1570518487591375112,map,-22856.8949521,-93095.3478465,29.964,0.0,0.0,-0.755842657798,0.654753294496
1570518487679181682,77962,1570518487678889036,map,-22856.8545258,-93095.7843238,29.229,0.0,0.0,-0.673711832041,0.738994159225
1570518487724794279,77963,1570518487723195075,map,-22856.9371502,-93096.4509182,29.28,0.0,0.0,-0.749335958371,0.662190019173
1570518487769838993,77964,1570518487767237901,map,-22857.0252163,-93097.1198654,29.3,0.0,0.0,-0.751838597258,0.659347195091
1570518487811229578,77965,1570518487811017036,map,-22857.1022741,-93097.7887479,29.347,0.0,0.0,-0.746474016869,0.665414564118
1570518487865231090,77966,1570518487855199098,map,-22857.1610899,-93098.4248771,28.613,0.0,0.0,-0.738940503349,0.673770682436
1570518487943137509,77967,1570518487942858934,map,-22857.3061421,-93099.7750711,28.655,0.0,0.0,-0.74391396879,0.668275397601
1570518488030641027,77968,1570518488030361890,map,-22857.3748642,-93100.4499651,28.683,0.0,0.0,-0.742058856474,0.67033473245
1570518488077399259,77969,1570518488074812889,map,-22857.2806238,-93100.9813523,28.153,0.0,0.0,-0.642408376557,0.766362497601
1570518488120499116,77970,1570518488118638038,map,-22857.348155,-93101.6536238,28.127,0.0,0.0,-0.741602735522,0.670839312106
1570518488152721435,77971,1570518488152304887,map,-22857.4013816,-93102.3312377,28.153,0.0,0.0,-0.734271338372,0.678856097892
1570518488198169192,77972,1570518488196616888,map,-22857.4589607,-93103.0128343,28.148,0.0,0.0,-0.736266603845,0.676691575285
1570518488241943637,77973,1570518488240585088,map,-22857.3015626,-93103.8596353,29.95,0.0,0.0,-0.639240256745,0.769007083294
1570518488328316493,77974,1570518488328104972,map,-22857.3569299,-93104.5431972,29.947,0.0,0.0,-0.735096521923,0.677962464637
1570518488329093393,77975,1570518488328496932,map,-22857.4017901,-93105.2267302,29.961,0.0,0.0,-0.729893490501,0.6835608916
1570518488416346392,77976,1570518488416122913,map,-22857.4445888,-93105.9116366,29.966,0.0,0.0,-0.728823285837,0.684701846077
1570518488462793052,77977,1570518488460071086,map,-22857.4498477,-93106.5339417,29.688,0.0,0.0,-0.710088172542,0.70411276598
1570518488504291152,77978,1570518488504112958,map,-22857.4839644,-93107.2200163,29.684,0.0,0.0,-0.724453579168,0.689323589927
1570518488548304658,77979,1570518488548031091,map,-22857.5181648,-93107.9091783,29.665,0.0,0.0,-0.724418746148,0.689360196291
1570518488592635875,77980,1570518488592355966,map,-22857.5480137,-93108.6008103,29.651,0.0,0.0,-0.722190109203,0.691694619156
1570518488636453703,77981,1570518488636105060,map,-22857.5316666,-93109.2352247,29.697,0.0,0.0,-0.697940299264,0.716155945771
1570518488723721494,77982,1570518488723481893,map,-22857.5536124,-93109.9298348,29.689,0.0,0.0,-0.718184749253,0.695852474265
1570518488769121868,77983,1570518488768266916,map,-22857.5720878,-93110.6270792,29.679,0.0,0.0,-0.716410661468,0.697678840252
1570518488811744259,77984,1570518488811551094,map,-22857.5868568,-93111.3236672,29.671,0.0,0.0,-0.714561793173,0.699572329168
1570518488855682030,77985,1570518488855458974,map,-22857.5386828,-93111.9692737,29.465,0.0,0.0,-0.68028988669,0.732943156095
1570518488899617320,77986,1570518488899426937,map,-22857.5456201,-93112.6730737,29.483,0.0,0.0,-0.710582994601,0.703613393693
1570518488943983374,77987,1570518488943182945,map,-22857.5544026,-93113.3740403,29.479,0.0,0.0,-0.711522367052,0.702663448021
1570518488987551665,77988,1570518488987199068,map,-22857.5652646,-93114.0807701,29.47,0.0,0.0,-0.712519325421,0.701652485852
1570518489031354325,77989,1570518489031138896,map,-22857.5739915,-93114.8138891,29.542,0.0,0.0,-0.711302679641,0.702885835635
1570518489119039489,77990,1570518489118828058,map,-22857.5781509,-93115.5179734,29.522,0.0,0.0,-0.709192289342,0.705015103908
1570518489153972741,77991,1570518489153098106,map,-22857.572126,-93116.2296084,29.532,0.0,0.0,-0.704107229284,0.710093662604
1570518489198122156,77992,1570518489197818994,map,-22857.5629931,-93116.9431187,29.543,0.0,0.0,-0.702567140701,0.71161746241
1570518489242600015,77993,1570518489241750001,map,-22857.5571765,-93117.6349885,29.353,0.0,0.0,-0.70412823217,0.710072836166
