%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1570512685548018716,6415,1570512685479527000,/map,-18066.578125,-93626.1640625,38.9391479492,-0.0182194213995,-0.00153835891359,0.502704387163,0.864264997129
1570512685650517462,6416,1570512685579775000,/map,-18066.4980469,-93626.0078125,38.9474067688,-0.0181330368632,-0.00151420596312,0.501181011009,0.865151139604
1570512685777289249,6417,1570512685680024000,/map,-18066.4726562,-93625.859375,38.9465026855,-0.0175950414978,-0.00134436725564,0.499317606733,0.866239305733
1570512685867549298,6418,1570512685780193000,/map,-18066.3828125,-93625.7578125,38.9502029419,-0.0166493704627,-0.00151842173638,0.497606554157,0.86724172531
1570512685940947051,6419,1570512685880697000,/map,-18066.3046875,-93625.6484375,38.9459877014,-0.0162823754753,-0.00249506744606,0.495317283158,0.868555955534
1570512686059423311,6420,1570512685980665000,/map,-18066.2246094,-93625.5,38.9491004944,-0.0164615742599,-0.00327014117359,0.492566954353,0.870112704326
1570512686145432694,6421,1570512686080811000,/map,-18066.1503906,-93625.375,38.9530906677,-0.0166482717987,-0.00408108304794,0.489385569664,0.871899044621
1570512686239328794,6422,1570512686181159000,/map,-18066.0566406,-93625.265625,38.9430961609,-0.0168947804292,-0.00579979340791,0.485796765442,0.873889255842
1570512686354250209,6423,1570512686281309000,/map,-18065.9570312,-93625.1640625,38.9340820312,-0.0163176319865,-0.00720099217582,0.482011337075,0.875983419666
1570512686469361731,6424,1570512686381555000,/map,-18065.8984375,-93625.0078125,38.9289016724,-0.0146125487798,-0.00795851669498,0.476113735569,0.879226277037
1570512686545216515,6425,1570512686481827000,/map,-18065.7734375,-93624.8359375,38.9220466614,-0.0133395745228,-0.00898151670955,0.46996129371,0.882540520613
1570512686672187259,6426,1570512686581950000,/map,-18065.6933594,-93624.6171875,38.9236564636,-0.0128951196974,-0.00965793500346,0.462968042285,0.886228543888
1570512686772909938,6427,1570512686682297000,/map,-18065.5664062,-93624.453125,38.9182815552,-0.012457041422,-0.0109234714621,0.45499935502,0.890337625186
1570512686865038281,6428,1570512686782441000,/map,-18065.3691406,-93624.2890625,38.9156455994,-0.0119477073699,-0.010861471251,0.446398460116,0.894688602552
1570512686951322335,6429,1570512686882590000,/map,-18065.2207031,-93624.0859375,38.8968238831,-0.0119150859775,-0.0109382778418,0.438166551487,0.898748272856
1570512687051225687,6430,1570512686982949000,/map,-18065.0625,-93623.859375,38.8906669617,-0.01091237743,-0.0113149440724,0.430271405762,0.902562690035
1570512687166669149,6431,1570512687083083000,/map,-18064.890625,-93623.6328125,38.8999862671,-0.0106575946118,-0.0112538067916,0.42227510646,0.90633520398
1570512687243051096,6432,1570512687183337000,/map,-18064.7421875,-93623.4296875,38.9022750854,-0.0111360089573,-0.0108502600532,0.413357597189,0.910436026312
1570512687356082547,6433,1570512687283580000,/map,-18064.578125,-93623.21875,38.9111404419,-0.0125291813227,-0.0100971832272,0.403802487418,0.914704661441
1570512687457526944,6434,1570512687383749000,/map,-18064.3515625,-93623.015625,38.9187660217,-0.0133443521329,-0.00991755920542,0.39386924665,0.919016097154
1570512687560660310,6435,1570512687484100000,/map,-18064.1054688,-93622.8203125,38.9187507629,-0.0146657981382,-0.00841257398708,0.383731852441,0.923289774874
1570512687680167475,6436,1570512687584221000,/map,-18063.8203125,-93622.5546875,38.9187431335,-0.0145257727045,-0.00765850016474,0.371863819297,0.9281420415
1570512687766689599,6437,1570512687686446000,/map,-18063.5761719,-93622.2890625,38.9333267212,-0.0141562368003,-0.00634094311419,0.359097618279,0.933171095752
1570512687872885113,6438,1570512687784718000,/map,-18063.3945312,-93622.078125,38.9450950623,-0.014919202138,-0.00598599592944,0.346042312533,0.93808118156
1570512687964261978,6439,1570512687886807000,/map,-18063.1582031,-93621.859375,38.9745063782,-0.0162127632665,-0.00592607947137,0.331581385163,0.943268685425
1570512688115963419,6440,1570512687987056000,/map,-18062.8203125,-93621.6484375,38.9643859863,-0.0176925061319,-0.00715500107956,0.317208988117,0.948163614069
1570512688159540478,6441,1570512688087200000,/map,-18062.5058594,-93621.453125,38.9250335693,-0.0174420001037,-0.00733395633597,0.301794477487,0.953185230202
1570512688260053155,6442,1570512688187553000,/map,-18062.25,-93621.265625,38.8865280151,-0.0140063075907,-0.00421970669582,0.285641319479,0.958224949596
1570512688406096727,6443,1570512688297357000,/map,-18061.8808594,-93621.046875,38.9003715515,-0.00730242077809,-0.00325163526321,0.266677698028,0.963752617062
1570512688461218734,6444,1570512688387859000,/map,-18061.5644531,-93620.890625,38.9263839722,-0.00394478648612,-0.00639014389979,0.248966171427,0.968483066556
1570512688572012523,6445,1570512688488209000,/map,-18061.1757812,-93620.6484375,39.0019035339,-0.00291521274822,-0.0145545815391,0.227602460247,0.973640994299
1570512688669522378,6446,1570512688588337000,/map,-18060.7832031,-93620.3828125,38.9888648987,-0.0055914237758,-0.0201304659438,0.205789358117,0.978373262312
1570512688805931854,6447,1570512688688585000,/map,-18060.4023438,-93620.2265625,38.9328613281,-0.00870305526331,-0.0231583029079,0.185752493965,0.982285071057
1570512688852734560,6448,1570512688788836000,/map,-18060.0390625,-93620.09375,38.8860816956,-0.00885042010523,-0.0216081457773,0.165110341213,0.98599864773
1570512688999995102,6449,1570512688888978000,/map,-18059.5585938,-93619.921875,38.8866996765,-0.00278282752402,-0.0190164684075,0.144789512743,0.989275809267
1570512689063796772,6450,1570512688989334000,/map,-18059.0800781,-93619.7109375,38.9101905823,0.00691088337026,-0.0188245512329,0.124699582117,0.991991880099
1570512689163737761,6451,1570512689089476000,/map,-18058.6386719,-93619.546875,38.9588165283,0.0128868378465,-0.0189699786761,0.104763736897,0.994232683405
